crim,indus,nox,rm,medv,neighborhood
0.00632,2.31,0.538,6.575,24,Suburban
0.02731,7.07,0.469,6.421,21.6,Urban
0.02729,7.07,0.469,7.185,34.7,Rural
0.03237,2.18,0.458,6.998,33.4,Urban
0.06905,2.18,0.458,7.147,36.2,Suburban
0.02985,2.18,0.458,6.43,28.7,Suburban
0.08829,7.87,0.524,6.012,22.9,Rural
0.14455,7.87,0.524,6.172,27.1,Urban
0.21124,7.87,0.524,5.631,16.5,Suburban
0.17004,7.87,0.524,6.004,18.9,Rural
0.22489,7.87,0.524,6.377,15,Urban
0.11747,7.87,0.524,6.009,18.9,Rural
0.09378,7.87,0.524,5.889,21.7,Rural
0.62976,8.14,0.538,5.949,20.4,Rural
0.63796,8.14,0.538,6.096,18.2,Rural
0.62739,8.14,0.538,5.834,19.9,Suburban
1.05393,8.14,0.538,5.935,23.1,Suburban
0.7842,8.14,0.538,5.99,17.5,Rural
0.80271,8.14,0.538,5.456,20.2,Suburban
0.7258,8.14,0.538,5.727,18.2,Urban
1.25179,8.14,0.538,5.57,13.6,Suburban
0.85204,8.14,0.538,5.965,19.6,Suburban
1.23247,8.14,0.538,6.142,15.2,Suburban
0.98843,8.14,0.538,5.813,14.5,Urban
0.75026,8.14,0.538,5.924,15.6,Suburban
0.84054,8.14,0.538,5.599,13.9,Suburban
0.67191,8.14,0.538,5.813,16.6,Suburban
0.95577,8.14,0.538,6.047,14.8,Suburban
0.77299,8.14,0.538,6.495,18.4,Rural
1.00245,8.14,0.538,6.674,21,Suburban
1.13081,8.14,0.538,5.713,12.7,Urban
1.35472,8.14,0.538,6.072,14.5,Urban
1.38799,8.14,0.538,5.95,13.2,Suburban
1.15172,8.14,0.538,5.701,13.1,Suburban
1.61282,8.14,0.538,6.096,13.5,Rural
0.06417,5.96,0.499,5.933,18.9,Rural
0.09744,5.96,0.499,5.841,20,Suburban
0.08014,5.96,0.499,5.85,21,Suburban
0.17505,5.96,0.499,5.966,24.7,Suburban
0.02763,2.95,0.428,6.595,30.8,Suburban
0.03359,2.95,0.428,7.024,34.9,Suburban
0.12744,6.91,0.448,6.77,26.6,Rural
0.1415,6.91,0.448,6.169,25.3,Rural
0.15936,6.91,0.448,6.211,24.7,Suburban
0.12269,6.91,0.448,6.069,21.2,Suburban
0.17142,6.91,0.448,5.682,19.3,Rural
0.18836,6.91,0.448,5.786,20,Rural
0.22927,6.91,0.448,6.03,16.6,Rural
0.25387,6.91,0.448,5.399,14.4,Rural
0.21977,6.91,0.448,5.602,19.4,Suburban
0.08873,5.64,0.439,5.963,19.7,Rural
0.04337,5.64,0.439,6.115,20.5,Rural
0.0536,5.64,0.439,6.511,25,Urban
0.04981,5.64,0.439,5.998,23.4,Suburban
0.0136,4,0.41,5.888,18.9,Suburban
0.01311,1.22,0.403,7.249,35.4,Urban
0.02055,0.74,0.41,6.383,24.7,Suburban
0.01432,1.32,0.411,6.816,31.6,Urban
0.15445,5.13,0.453,6.145,23.3,Urban
0.10328,5.13,0.453,5.927,19.6,Rural
0.14932,5.13,0.453,5.741,18.7,Suburban
0.17171,5.13,0.453,5.966,16,Rural
0.11027,5.13,0.453,6.456,22.2,Suburban
0.1265,5.13,0.453,6.762,25,Suburban
0.01951,1.38,0.4161,7.104,33,Urban
0.03584,3.37,0.398,6.29,23.5,Rural
0.04379,3.37,0.398,5.787,19.4,Suburban
0.05789,6.07,0.409,5.878,22,Urban
0.13554,6.07,0.409,5.594,17.4,Suburban
0.12816,6.07,0.409,5.885,20.9,Rural
0.08826,10.81,0.413,6.417,24.2,Urban
0.15876,10.81,0.413,5.961,21.7,Rural
0.09164,10.81,0.413,6.065,22.8,Urban
0.19539,10.81,0.413,6.245,23.4,Suburban
0.07896,12.83,0.437,6.273,24.1,Rural
0.09512,12.83,0.437,6.286,21.4,Suburban
0.10153,12.83,0.437,6.279,20,Rural
0.08707,12.83,0.437,6.14,20.8,Rural
0.05646,12.83,0.437,6.232,21.2,Suburban
0.08387,12.83,0.437,5.874,20.3,Suburban
0.04113,4.86,0.426,6.727,28,Suburban
0.04462,4.86,0.426,6.619,23.9,Rural
0.03659,4.86,0.426,6.302,24.8,Rural
0.03551,4.86,0.426,6.167,22.9,Urban
0.05059,4.49,0.449,6.389,23.9,Suburban
0.05735,4.49,0.449,6.63,26.6,Rural
0.05188,4.49,0.449,6.015,22.5,Urban
0.07151,4.49,0.449,6.121,22.2,Urban
0.0566,3.41,0.489,7.007,23.6,Urban
0.05302,3.41,0.489,7.079,28.7,Suburban
0.04684,3.41,0.489,6.417,22.6,Suburban
0.03932,3.41,0.489,6.405,22,Rural
0.04203,15.04,0.464,6.442,22.9,Suburban
0.02875,15.04,0.464,6.211,25,Rural
0.04294,15.04,0.464,6.249,20.6,Suburban
